text	label
rife with the rueful , wry humor springing out of yiddish culture and language 	1
not as good as the full monty , but a really strong second effort . 	1
with a sharp script and strong performances 	1
unusual but unfortunately also 	0
winner 	1
stillborn 	0
a thoughtful and surprisingly affecting portrait 	1
i 'm not a fan of the phrase ` life affirming ' because it usually means ` schmaltzy , ' but real women have curves truly is life affirming 	1
is plastered with one hollywood cliche after another , most of which involve precocious kids getting the better of obnoxious adults . 	0
, but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel 	0
us to laugh because he acts so goofy all the time 	1
the treat 	1
, to say nothing of boring . 	0
is like seeing a series of perfect black pearls clicking together to form a string 	1
a disaster of a story 	0
a paper bag to wear over his head when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers 	0
genuinely worthwhile 	1
is a canny crowd pleaser , and the last kiss ... provides more than enough sentimental catharsis for a satisfying evening at the multiplex 	1
final verdict : you 've seen it all before . 	0
a heartbreakingly thoughtful minor classic , the work of a genuine and singular artist 	1
, revolution # 9 proves to be a compelling 	1
upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing 	1
can only be described as sci-fi generic 	0
the tortured husband 	0
when the fire burns out , we 've only come face-to-face with a couple dragons and that 's where the film ultimately fails 	0
a dreadful day in irish history 	0
there 's no palpable chemistry between lopez and male lead ralph fiennes , plus the script by working girl scribe kevin wade is workmanlike in the extreme . 	0
suited neither to kids or adults 	0
self-indulgent and maddening 	0
to the bitter end 	0
driven by a fantastic dual performance from ian holm ... the film is funny , insightfully human and a delightful lark for history buffs . 	1
this loose collection of largely improvised numbers 	0
noble teacher 	1
offers an unexpected window 	1
it 's always disappointing when a documentary fails to live up to -- or offer any new insight into -- its chosen topic . 	0
are quite touching 	1
in the media 	0
that their charm does n't do a load of good 	0
, it may be because teens are looking for something to make them laugh . 	0
adorns his family-film plot with an elegance and maturity that even most contemporary adult movies are lacking 	1
devos and cassel have tremendous chemistry -- 	1
a moldy-oldie , not-nearly - as-nasty - as-it 	0
genuinely enthusiastic performances 	1
, it 's pleasant enough and its ecological , pro-wildlife sentiments are certainly welcome . 	1
no one involved , save dash , shows the slightest aptitude for acting 	0
the wit and hoopla 	1
murderous maids pulls no punches in its depiction of the lives of the papin sister and the events that led to their notorious rise to infamy ... 	1
humanistic 	1
no disguising this as one of the worst films of the summer 	0
the rock 's fighting skills are more in line with steven seagal 	1
awash in self-consciously flashy camera effects , droning house music and flat , flat dialogue 	0
ability to make its subject interesting to those who are n't part of its supposed target audience 	1
of his way to turn the legendary wit 's classic mistaken identity farce into brutally labored and unfunny hokum 	0
particularly joyless 	0
funny film . 	1
a dazzling dream 	1
profanities 	0
no rooting interest 	0
a solid and refined piece of moviemaking 	1
catch it ... if you can ! 	1
is even lazier and far less enjoyable 	0
ever a concept came handed down from the movie gods on a silver platter 	1
the cast is top-notch and i predict there will be plenty of female audience members drooling over michael idemoto as michael . 	1
even though we know the outcome , the seesawing of the general 's fate in the arguments of competing lawyers has the stomach-knotting suspense of a legal thriller , while the testimony of witnesses lends the film a resonant undertone of tragedy . 	1
is a beautiful film for people who like their romances to have that french realism 	1
a massive infusion 	0
is there a group of more self-absorbed women than the mother and daughters featured in this film 	0
significantly better than its 2002 children 's - movie competition . 	1
make several runs to the concession stand and/or restroom and 	0
to provoke them 	1
a weird , arresting little ride 	0
the extravagant confidence 	1
of john c. walsh 's pipe dream 	0
several survivors , 	1
than an amiable but unfocused bagatelle that plays like a loosely-connected string of acting-workshop exercises 	0
an average b-movie with no aspirations to be anything more 	0
ultimately feels as flat as the scruffy sands of its titular community . 	0
at the same easy targets as other rowdy raunch-fests -- farts , boobs , unmentionables -- 	0
offers rare insight into the structure of relationships 	1
good yarn 	1
with wisdom and emotion 	1
crossing-over mumbo jumbo 	0
not from any cinematic razzle-dazzle but from its recovery of an historical episode that , in the simple telling , proves simultaneously harrowing and uplifting 	1
squeeze the action and our emotions 	1
serious contender 	1
but mush-hearted . 	0
its and pieces of the hot chick are so hilarious 	1
in such a gloriously goofy way 	1
as often imaginative 	1
the third feels limited by its short running time 	0
welcome perspective 	1
want to see over and over again 	1
even less surprises 	0
an engrossing story about a horrifying historical event and 	1
one of the outstanding thrillers of recent years 	1
despite a fairly slow paced , almost humdrum approach to character development , still manages at least a decent attempt at meaningful cinema 	1
determine how well the schmaltz is manufactured -- to assess the quality of the manipulative engineering 	0
the picture is so lovely toward the end 	1
an exceptionally good idea 	1
, it should pay reparations to viewers . 	0
dog-paddle in the mediocre end of the pool 	0
tie together beautifully 	1
( clooney 's ) debut can be accused of being a bit undisciplined 	0
those who like quirky , slightly strange french films 	1
examines many different ideas from happiness 	1
ambitious , unsettling psychodrama that takes full , chilling advantage of its rough-around-the-edges , low-budget constraints 	1
portrays their cartoon counterparts well ... but quite 	1
film to watch 	1
insanely dysfunctional 	0
comes off as a long , laborious whine , the bellyaching of a paranoid and unlikable man . 	0
tendency to slip into hokum 	0
this movie is to be cherished . 	1
pretentious mess . 	0
hero 	1
top-notch action powers 	1
has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works 	1
might be distracted by the movie 's quick movements and 	0
it made me feel unclean , and i 'm the guy who liked there 's something about mary and both american pie movies . 	0
sense-of-humour failure 	0
amiable 	1
with an obvious rapport with her actors and a striking style behind the camera 	1
an 8-year-old channeling roberto benigni 	0
too slow for a younger crowd 	0
badly made on every level 	0
a watch 	1
a movie as artificial and soulless 	0
nothing original in the way of slapstick sequences 	0
those who trek to the ` plex predisposed to like it probably will enjoy themselves . 	1
the excruciating end of days 	0
the movie is n't painfully bad , something to be ` fully experienced ' 	0
combined with stunning animation 	1
the hearts and minds 	1
a classic 	1
, smartly played and smartly directed . 	1
is that it 's a brazenly misguided project . 	0
plays out like a flimsy excuse 	0
gets full mileage out of the rolling of a stray barrel or the unexpected blast of a phonograph record 	1
a sweet-tempered comedy that forgoes the knee-jerk misogyny that passes for humor in so many teenage comedies 	1
a surprisingly sweet and gentle comedy . 	1
are n't interesting enough to watch them go about their daily activities for two whole hours 	0
heartfelt romance 	1
kill michael myers for good : stop buying tickets to these movies 	0
11 times too many 	0
creepy and vague 	0
are some fairly unsettling scenes 	0
lacks the utter authority of a genre gem 	0
respectable new one 	1
, leaning on badly-rendered cgi effects . 	0
about hatred that offers no easy , comfortable resolution 	0
fincher takes no apparent joy in making movies 	0
delightfully charming -- and 	1
issue a moratorium , effective immediately , on treacly films about inspirational prep-school professors and the children they so heartwarmingly motivate 	0
'll love it 	1
that offers a thoughtful and rewarding glimpse into the sort of heartache everyone 	1
