vietnamese	english
tốt	good
xấu	bad
đẹp	beautiful
rất	very
nhiều	many
ít	few
lớn	big
nhỏ	small
nhanh	fast
chậm	slow
dễ	easy
khó	difficult
mới	new
cũ	old
hay	interesting
chán	boring
giỏi	talented
kém	poor
thích	like
ghét	hate
yêu	love
sợ	fear
vui	happy
buồn	sad
giận	angry
hài lòng	satisfied
thất vọng	disappointed
tuyệt vời	wonderful
kinh khủng	terrible
hoàn hảo	perfect
thầy	teacher
cô	teacher
giáo viên	teacher
sinh viên	student
học sinh	student
lớp	class
bài	lesson
trường	school
phòng	room
thư viện	library
sách	book
bài giảng	lecture
bài tập	homework
thi	exam
điểm	score
kết quả	result
chương trình	program
khóa học	course
học kỳ	semester
giáo trình	textbook
slide	slide
nội dung	content
kiến thức	knowledge
kỹ năng	skill
phương pháp	method
giảng dạy	teaching
học tập	learning
nghiên cứu	research
thực hành	practice
lý thuyết	theory
ứng dụng	application
hiểu	understand
biết	know
làm	do
viết	write
đọc	read
nói	speak
nghe	listen
giải thích	explain
hướng dẫn	guide
giúp	help
hỗ trợ	support
cải thiện	improve
phát triển	develop
thay đổi	change
cần	need
muốn	want
nên	should
phải	must
có thể	can
được	get
cho	give
nhận	receive
sử dụng	use
cung cấp	provide
tạo	create
xây dựng	build
thiết kế	design
quản lý	manage
đánh giá	evaluate
kiểm tra	check
hoàn thành	complete
bắt đầu	start
kết thúc	end
tiếp tục	continue
dừng	stop
thêm	add
bớt	reduce
tăng	increase
giảm	decrease
cao	high
thấp	low
dài	long
ngắn	short
rộng	wide
hẹp	narrow
sâu	deep
nông	shallow
nóng	hot
lạnh	cold
sáng	bright
tối	dark
sạch	clean
bẩn	dirty
đúng	correct
sai	wrong
quan trọng	important
cần thiết	necessary
hữu ích	useful
thú vị	interesting
nhàm chán	boring
khó khăn	difficult
dễ dàng	easy
rõ ràng	clear
mơ hồ	vague
chi tiết	detailed
tổng quát	general
chuyên nghiệp	professional
nghiêm túc	serious
thoải mái	comfortable
căng thẳng	stressful
hiệu quả	effective
thời gian	time
không gian	space
chất lượng	quality
số lượng	quantity
giá	price
miễn phí	free
đắt	expensive
rẻ	cheap
đầy đủ	complete
thiếu	lacking
đủ	enough
thừa	excess
tốt nhất	best
tệ nhất	worst
hơn	better
kém hơn	worse
bình thường	normal
đặc biệt	special
phổ biến	popular
hiếm	rare
luôn	always
thường	usually
đôi khi	sometimes
hiếm khi	rarely
không bao giờ	never
ngay lập tức	immediately
từ từ	slowly
nhanh chóng	quickly
cẩn thận	carefully
bất cẩn	careless
chăm chỉ	hardworking
lười	lazy
thân thiện	friendly
lịch sự	polite
nhiệt tình	enthusiastic
tận tâm	dedicated
kiên nhẫn	patient
sáng tạo	creative
linh hoạt	flexible
chủ động	proactive
hợp tác	cooperative
độc lập	independent
trách nhiệm	responsible
tin cậy	reliable
trung thực	honest
công bằng	fair
nghiêm khắc	strict
nhẹ nhàng	gentle
mạnh mẽ	strong
yếu	weak
khỏe	healthy
bệnh	sick
đói	hungry
no	full
mệt	tired
khỏe mạnh	energetic
thông minh	smart
ngu	stupid
đẹp trai	handsome
xinh	pretty
già	old
trẻ	young
giàu	rich
nghèo	poor
hạnh phúc	happiness
thành công	success
thất bại	failure
hy vọng	hope
lo lắng	worry
tự tin	confident
xấu hổ	ashamed
tự hào	proud
ghen tị	jealous
biết ơn	grateful
tha thứ	forgive
xin lỗi	sorry
cảm ơn	thanks
chào	hello
tạm biệt	goodbye
đồng ý	agree
phản đối	oppose
chấp nhận	accept
từ chối	refuse
tin	believe
nghi ngờ	doubt
nhớ	remember
quên	forget
tìm	find
mất	lose
mở	open
đóng	close
bật	turn on
tắt	turn off
mua	buy
bán	sell
trả	pay
vay	borrow
đầu tư	invest
tiết kiệm	save
lãng phí	waste
chia sẻ	share
giữ	keep
lấy	take
đặt	place
di chuyển	move
đến	arrive
đi	go
về	return
ở	stay
sống	live
chết	die
sinh	born
lớn lên	grow up
già đi	age
ăn	eat
uống	drink
ngủ	sleep
thức	awake
chạy	run
đi bộ	walk
bơi	swim
bay	fly
lái xe	drive
đỗ xe	park
máy tính	computer
điện thoại	phone
internet	internet
email	email
mạng	network
phần mềm	software
dữ liệu	data
thông tin	information
hệ thống	system
công nghệ	technology
kỹ thuật	technique
thuật toán	algorithm
mô hình	model
dự án	project
bài báo	paper
tài liệu	document
báo cáo	report
trình bày	present
thảo luận	discuss
hỏi	ask
trả lời	answer
đề xuất	propose
phân tích	analyze
so sánh	compare
tổng hợp	synthesize
kết luận	conclude
khuyến nghị	recommend
đề nghị	suggest
yêu cầu	require
đề tài	topic
vấn đề	problem
giải pháp	solution
câu hỏi	question
trả lời	answer
ý kiến	opinion
nhận xét	comment
phản hồi	feedback
đánh giá	assessment
xếp hạng	ranking
tiêu chí	criteria
tiêu chuẩn	standard
mục tiêu	goal
kế hoạch	plan
chiến lược	strategy
