vietnamese	english
a à! ờ ờ!	er
a lô	hullo
a- điểm	a-point
a-gô-nốt	argonaut
a-rập	arab
a-rô-ba	arroba
a-đô-nít	adonis
abôm	abohm
ac-mê-ni	armenian
afinơ	affinor
agô	dago
ai cũng biết	daylight
ai cập hoá	egyptianize
ai khó ba đời	dog
ai đó	sb
ai-cập	egyptian
ai-len cô gái	colleen
ai-len đứa bé	gossoon
airơlân	erin
alep không	aleph-null
aliđat	alidad
am hiểu	advised
am tường	knowledgeably
amadôni	amazonite
amiăng	asbestos
amiđalin	amydalin
amiđaloit	amygdaloid
amiđan	tonsil
amiđin	amidin
amiđola	amidol
ampe-giờ	ampere-hour
ampere  kế	ammeter
an tâm	free-minded
an tức hương	storax
an-giê-ri	algerine
anbeđô	albedo
angôrit	algorithmical
anh  ruột	sibling
anh  rể	brother-in-law
anh  vợ	brother-in-law
anh cần gì?	about
anh cứu thương	medic
anh dân quân	militiaman
anh hùng rơm	scaramouch
anh hề	mime
anh lai ân độ	anglo-indian
anh ngốc	simp
anh nóoc-măng	anglo-norman
anh nuôi	cook
anh phệ	fatty
anh quốc	gb
anh ta vui đùa	fun
anh thộn	simp
anh yêu	sweet
anh yêu quí	hinny
anh yêu quý	honey
anh ấy	he
anh-an bồi	chokra
anh-ân	chop
anh-ân vú em	ayah
anmanđin	almandine
anteniôn	alternion
antimôt	antimode
anôt	anode
anđehyt	aldehyde
anđola	aldol
ao nuôi cá	crawl
ao nuôi lươn	eel-bed
ao ước	gape
aoxơ	ounce
arênit	arenit
asenơ	arsenous
at f. từ đầu	first
atmôtphe	atmosphere
attô	atto
autôddin	autodyne
avô kế	avometer
axit hai bazơ	dibasic
ađic	adic
á thần	demigod
ác dâm	sadistic
ác dữ tợn	devil-like
ác hiểm	devilish
ác hơn	worse
ác khẩu	foul-spoken
ác liệt	fell
ác nghiệt	sore
ác tâm	malice
ác ôn	thug
ác độc	sinfully
ác-thống dâm	sado-masochism
ách áp bức	yoke
ái nam ái nữ	epicene
ái quốc	patriotically
ái thiếp	favorite
ám ảnh sợ	phobia
ám muội	dark
ám điểm	scotoma
án sâu	dig
án thờ	altar
ánh băng	iceblink
ánh hồng	blush
ánh lân quang	spark
ánh lấp lánh	glisten
ánh lập loè	gleam
ánh lên	flush
ánh lên vì	scintillate
ánh mắt	eye-beam
ánh nắng	sun
ánh sáng bên	sidelight
ánh sáng xiên	cross-light
ánh sáng đèn	limelight
ánh trăng	moon
ánh đèn khí	gaslight
ánh đuốc	torchlight
ánh đất	earth-light
áo bành tô	coat
áo bludông	blouson
áo bluzông	shell-jacket
áo buốc-ca	burka
áo bôlêrô	bolero
áo bằng li e	cork-jacket
áo bờ lu	smock
áo bờ lu nữ	shirt-waist
áo bờ-lu	blouse
áo ca pốt	capote
áo chẽn chật	bumfreezer
áo chầu	court-dress
áo cộc	roundabout
áo cưới	wedding-dress
áo dài trắng	alb
áo ghế	antimacassar
áo gi lê	vest
áo gilê	gilet
áo giữ nhiệt	jacket
áo gối	slip
áo hơi	steam-jacket
áo kimônô	kimono
áo len đan	cardigan
áo liền quần	unionalls
áo lễ	cope
áo lặn	armour
áo may ô	singlet
áo may-ô	maillot
áo mặc ngoài	overdress
áo mặc trong	chiton
áo mưa	raincoat
áo ngắn	tunicle
áo nhật	anthelia
áo nịt ngực	corset
áo quần	vesture
áo raglăng	raglan
áo săngdday	frock
áo sắc	sack
áo sơ mi	sark
áo sơ mi nữ	shift
áo thiếu vải	skimpy
áo thầy tu	cloth
áo thể thao	zephyr
áo tế	surplice
áo tôga	gown
áo tới lá	straw-coat
áo va rơi	jumper
áo vải dầu	oiler
áo vét tông	jacket
áo vệ sinh	singlet
áo vôi	oecium
áo ximôckinh	tux
áo xiêm	peplos
áo đi mưa	slicker
áo đi săn	shooting-coat
áo đuôi én	dress-coat
áo đuôi ngắn	coatee
áo đuôi tôm	tail-coat
áo đôman	dolman
áo đôminô	domino
áp bức	hold
áp chế	trod
áp dụng được	applicable
áp kế	glass
áp kế mắt	tonometer
áp lưc kế	gage
áp lực	tension
áp lực hơi	steam-pressure
áp suất	pressure
áp suất cao	pressure
áp suất rễ	root-pressure
áp triện	seal
áp xe lợi	gumboil
áp đảo	cut
áp đảo hẳn	outmatch
áp đo	weigh
át hẳn	dominate
ảm đạm	gray
ảnh bán sắc	halftone
ảnh căn cước	mug
ảnh cắt	scrap
ảnh ghi âm	phonogram
ảnh hưởng	drag
ảnh hưởng xâu	blight
ảnh lập thể	stereograph
ảnh nổi	echo-image
ảnh phổ	spectrogram
ảnh tượng	map
ảnh đức mẹ	virgin
ảo mộng	moonshine
ảo nhật	sun-dog
ảo thuật	thaumaturgy
ảo tưởng	rope
ảo tượng	mirage
b. off ngắt	break
ba bào tử	trisporous
ba bánh răng	triple-geared
ba bên	tri
ba cấu trúc	trifarious
ba cực	tripolar
ba hậu cung	triapsidal
ba lá đài	trisepalous
ba lần	triple
ba lê	ballet
ba lên	three-sided
ba lô	pack
ba mặt	trifacial
ba mặt tay ba	three-sided
ba mươi	thirty
ba ngôi	triadic
ba ngăn	triseptate
ba phần	trimerous
ba phần tư	three-quarter
ba tháng một	trimensual
ba thứ tiếng	triglot
ba tư giáo	persism
ba đào	checquered
ba điểm	trey
ba đoạn	trimerous
ba động	fluctuant
bakêlit	bakelite
ban bí thư	secretariat
ban bố	launch
ban công	gazebo
ban giám đốc	senate
ban giám đốc.	directors
ban hậu cần	ordnance
ban hồng	rose-drop
ban hội thẩm	jury
ban khiêu vũ	combo
ban nhân công	work
ban quản đốc	management
ban quyền	enfranchise
ban quân nhu	ordnance
ban sắc lệnh	fiat
ban sơ	pristine
ban thánh thể	communicate
ban thưởng	crown
ban tiếp đón	reception-committee
ban trưa	noonday
ban tước	lord
ban xơ	primordial
ban ân cho ai	favor
ban đào	roseola
ban đầu	early
ban đêm	day
ban đặc quyền	charter
ban đặc ân	privilege
bao bột	impaste
bao cánh môi	galea
bao con nhộng	capsule
bao cuối	end-sheath
bao cực	pole-capsule
bao diêm	match-box
bao dương vật	condom
bao giờ	ever
bao giờ cũng	along
bao guồng	paddle-box
bao gồm	took
bao gồm cả	included
bao gối	pillowslip
bao hàm chứa	inclusive
bao hàm thức	inclusion
bao khớp	periarthric
bao lơn	rail
bao mô khí	epimysium
bao nhiêu	how
bao nhiêu là	fifty
bao phấn	anther
bao qui đầu	preputium
bao quy đầu	prepuce
bao rễ	root-pocket
bao rễ mầm	root-sheath
bao răng	periodontal
bao súng ngắn	holster
bao sợi trục	periaxial
bao tay sắt	gauntlet
bao thận	perinephrium
bao tên	quiverful
bao vây	orb
bao đạn	cartridge-box
bao đỉnh	periapical
bao đựng tên	quiver
bao ướp xác	mummy
barête	ballastron
barôc	baroque
barơ	bar
bay bướm	vapouring
bay cao hơn	outfly
bay chuyền	flit
bay cuối buổi	serotinal
bay cất cánh	swept
bay dập dờn	flow
bay hơi	heat
bay liệng	soar
bay lên	air
bay lượn	sail
bay mùi thối	stunk
bay mất	wash
bay nhanh hơn	outfly
bay phấp phới	fly
bay phất phới	flaunt
bay rập rình	porpoise
bay rề rề	limp
bay thấp	low-flying
bay thẳng	scud
bay vọt lên	zoom
bay vụt lên	rocket
bay vượt qua	outsoar
bay xa hơn	outfly
bay đi	fly
bay được	airworthy
bazơ	base
bà bảo trợ	patroness
bà bầu	patroness
bà bệ vệ	duchess
bà bô	mater
bà chủ tiệc	hostess
bà con gần	cognate
bà cô	old
bà cốt	sibyl
bà gác cổng	portress
bà gác cửa	portress
bà giám đốc	manageress
bà hầu cận	woman
bà hầu tước	marquise
bà lớn	fine
bà mẹ đất	earthmother
bà nhà tôi	dutch
bà nội trợ	hausfrau
bà phiên dịch	interpretress
bà phước	charity
bà quản đốc	manageress
bà sáng lập	foundress
bà thầy bói	sybil
bà thẩm phán	arbitress
bà tiên tri	seeres
bà trợ giáo	instructress
bà trợ tế	deaconess
bà tổ	foremother
bà xơ	sr
bà ấy	she
bà đi kèm	duenna
bà đồng	media
bà đỡ	midwife
bà đỡ đầu	patroness
bài  thơ	verset
bài bàn thêm	excursus
bài butđơ	boodle
bài ca ngợi	eulogium
bài ca xêcăng	sequence
bài diễn văn	spiel
bài hát buồn	dirge
bài hát ngắn	ditty
bài hát đối	antiphony
bài hăm mốt	ving-et-un
bài kinh rôze	rosary
bài luận	theme
bài luận văn	paper
bài lên lớp	lecture
bài lễ ca	choral
bài ngắn	notice
bài nhảy thêm	extra
bài phê bình	critique
bài tán dương	eulogy
bài thơ	lay
bài thơ 14 câu	sonnet
bài thơ ngắn	lay
bài thơ nhại	burlesque
bài thơ tình	erotic
bài thơ xonê	sonnet
bài tiết	void
bài tiễn	recessional
bài toán bờ	problem
bài tóm tắt	summary
bài trừ	civilize
bài tập	study
bài tập thở	breather
bài tửu ca	drinking-song
bài tự tả	self-portrait
bài vè ngắn	lay
bài viết	redaction
bài văn dở	tripe
bài văn ngắn	essayette
bài xla-vơ	slavophobe
bài đả kích	vitriol
bài điếu ca	threnode
bài điếu văn	necrologue
bài đọc	text
bài đồng ca	plain-song
bài đặc biệt	feature
bài đơn ca	solo
bài đức	germanophobe
bàn ba chân	tripod
bàn chi sắt	wire-brush
bàn chân	pad
bàn chân bẹt	flat-foot
bàn chân quỳ	console-table
bàn chân vẹo	polt-foot
bàn chữ	clavier
bàn cặp	chuck
bàn cờ	chessboard
bàn cờ đam	draughtboard
bàn cưa	saw-buck
bàn dông dài	expatiatory
bàn giấy	bureau
bàn gấp	pembroke
bàn kéo sợi	draw-plate
bàn kẹp mộng	cramp
bàn làm việc	desk
bàn luận	talk
bàn luận về	kick
bàn mổ	operating-table
bàn nhiều	expatiate
bàn nấu ăn	cook-table
bàn phấn	toilet
bàn phẳng	flat-plate
bàn rộng	dilate
bàn rửa dao	knife-board
bàn rửa mặt	lavabo
bàn sơ qua	scratch
bàn tay sắt	hand
bàn thấm	blotter
bàn thắng	goal
bàn thờ	altar
bàn trượt	hob
bàn viết	desk
bàn về	treat
bàn ăn	dining-table
bàn ăn chung	commons
bàn đánh bạc	gaming-table
bàn đạp	iron
bàn định	concert
bàn đập	bat
bàn đến	tap
bàng tiếp	escribed
bành trướng	outspread
bào chữa	pled
bào ngư	haliotis
bào nhẵn	plane
bào sơ qua	shave
bào tử	spore
bào tử con	sporeling
bào tử gỉ	aeciospore
bào tử gốc	autospore
bào tử móc	oncospore
bào tử ngoài	exospore
bào tử ngọn	acrospore
bào tử nhỏ	sporule
bào tử phấn	oidium
bào tử quả	carpospore
bào tử trong	endospore
bào tử trần	gymnospore
bào tử đảm	basidiospore
bào tử đính	conidium
bào tử đều	isospory
bào tử đốt	arthrospore
bào tử động	zoid
bào tử đực	androspore
bào đường xoi	rabbet
bày  lên bàn	spread
bày biện	dress
bày bừa lên	litter
bày kế	devise
bày mưu	devise
bày nhầy	limy
bày ra được	presentable
bày đặt	contrive
bày đặt ra	cook
bá tước	margrave
bá vương	pen-dragon
bác bỏ được	refutable
bác ngữ học	glossology
bác đơn	bill
bách phân	centesimal
bách phân vị	centile
bái vật giáo	fetishism
bám chắc	tenaciously
bám chắt	bite
bám chặt	hold
bám chặt lấy	clung
bám dai dẳng	clinging
bám không rời	death
bám lấy	kept
bám riết lấy	hung
bám đầy bụi	undusted
bán buôn	bulk
bán bất biến	halfinvariant
bán chạy hơn	outsell
bán cầu	hemisphere
bán cầu não	parencephalon
bán công	semipublic
bán công khai	semipublic
bán cổng sau	under-the-counter
bán du cư	seminomadic
bán dẫn	crystal
bán khuyên	demicircular
bán kết	semifinal
bán lậu	under-the-counter
bán lỗ	bargain
bán nguyên âm	semivowel
bán nguyệt	half-round
bán nợ	subrogate
bán rẻ hết	sell
bán rẻ hơn	undersell
bán rượu lậu	bootleg
bán tống hết	unload
bán từ	ex
bán tự do	deration
bán đảo	peninsula
bán đấu giá	roup
bán được	realise
bán ở chợ	market
báng bổ	ark
bánh bít cốt	rusk
bánh bột ngô	dodger
bánh bơ giòn	shortcake
bánh bơ nhạt	gem
bánh bơ tròn	biscuit
bánh croaxăng	croissant
bánh côn	fusee
bánh công tác	impeller
bánh cưới	bridecake
bánh flăng	flan
bánh gối	samosa
bánh gừng	gingerbread
bánh hấp	dumpling
bánh khô dầu	oilcake
bánh không bơ	dry
bánh lệch tâm	eccentric
bánh mađơlen	madeleine
bánh mì hấp	doughboy
bánh mì khô	water-cracker
bánh mì ngô	tortilla
bánh ngô	pone
bánh nướng	scone
bánh pa-tê	pie
bánh putđinh	pudding
bánh qui khô	water-cracker
bánh qui sấy	wine-biscuit
bánh quy cây	pretzel
bánh quy mặn	biscuit
bánh quế	wafer
bánh răng	gear
bánh răng nhỏ	pinion
bánh sừng bò	croissant
bánh sữa nhỏ	bun
bánh trái cây	fruit-cake
bánh trớn	flywheel
bánh xe ngựa	cart-wheel
bánh xe nước	water-wheel
bánh xe đệm	idler
bánh xốp	puff
bánh xốp kem	trifle
bánh xăngđuych	sandwich
bánh đà	flyer
bánh đúc	rowel
bánh đúc ngô	hominy
bánh đường	sugar-loaf
báo bằng thư	message
báo cáo về	render
báo cho biết	intimate
báo hiêu	fore-ran
báo hiệu	omen
báo hiệu giả	pseudepisematic
báo khổ nhỏ	tabloid
báo mập	stout
báo sư tử	puma
báo trước	augur
báo tuyết	ounce
báo đáp	repay
báo điềm	boding
báo điềm gỡ	croak
báo điềm gở	bodeful
báo điềm xấu	croak
báo điểm	portend
báo đền	recompense
báo đền lại	quit
báo đốm mỹ	jaguar
báo động	alert
báo động giả	false
báo động lừa	false
báo ơn	reward
báo ứng	repay
bát chữ	plate
bát gỗ	mazer
bát lớn	jorum
bát phân	octal
bát rượu pân	punch
bát ăn cháo	porringer
bát ăn xin	clack-dish
bát đĩa	hollowware
bát độ	octave
bã cà phê	coffee-grounds
bã cải dầu	rape-cake
bã làm phân	tankage
bã rượu	slop
bã đay gai	hurds
bãi biển	beach
bãi bẫy thú	corral
bãi chăn	grazing-ground
bãi chơi gôn	links
bãi chơi ki	bowling-alley
bãi chứa	storage-yard
bãi cây nhỏ	coppice
bãi công	down
bãi diệc	heronry
bãi gỗ	timber-yard
bãi gỗ súc	log-yard
bãi hoả thiêu	ghat
bãi lau sậy	cane-brake
bãi liếm	salt-lick
bãi lầy	bog
bãi muối	salt-lands
bãi ngầm	bank
bãi nuôi sò	oyster-bed
bãi phế liệu	scrap-yard
bãi thông	pinery
bãi trâu đằm	wallow
bãi tuyết	snow-field
bãi tắm	bathing-place
bãi đánh ki	alley
bãi đáp	airstrip
bãi đậu xe	car-park
bãi đằm	wallow
bão tuyết	snowstorm
bão tố	squally
bão xuân phân	equinoctial
bả chuột	ratsbane
bả vật chết	mess
bản cải tiến	arrangement
bản chất	esse
bản chất tốt	good-natured
bản câu hỏi	catechism
bản cô lại	epitome
bản dương	positive
bản dự báo	report
bản giằng	cleat
bản hình mẫu	cartoon
bản hứng gió	sail
bản in khắc	engraving
bản in rời	separate
bản in thử	slip
bản in ôpxet	offset
bản in đúc	cast
bản in đầu	princeps
bản khế ước	indenture
bản khắc	block
bản khắc axit	etching
bản khắc gỗ	woodcut
bản khắc kẽm	plate
bản khắc xit	aquatint
bản kiểm kê	tally-sheet
bản kê	table
bản kê khai	account
bản lề	hinge
bản lề cửa	hook
bản lề sừng	resilium
bản lược kê	return
bản mẫu	specimen
bản phẳng	plate
bản phương án	map
bản quyền	copyright
bản rập th	galley-proof
bản sao đúng	autotype
bản số	cardinality
bản sơ thảo	draft
bản thân	inhere
bản thân họ	themselves
bản thân mình	self
bản thâu tóm	summing-up
bản thể	entity
bản thể học	ontology
bản thông báo	dispatch
bản toát yếu	brief
bản tóm tắt	brief
bản tuyên ngôn	pronounciamento
bản tốc ký	stenograph
bản tổng kết	summing-up
bản viết lại	rescript
bản viết mật	cryptogram
bản viết tay	writing
bản văn	text
bản xônat	sonata
bản xứ	home-born
bản yết thị	card
bản âm	negative
bản đánh máy	typescript
bản địa	enchorial
bản đọc kinh	falstool
bản đuyê	duet
bản đồ	map
bản đồ lại	transfer
bản đồ lồng	inset
bản đồ nổi	embossment-map
bản đồ sao	stellarium
bản đồ tính	abac
bản đưa in	manuscript
bảng chắn	flap
bảng chữ	alphabet
bảng chữ cái	abc
bảng cắm	plugboard
bảng ghi điểm	string
bảng giờ	time-bill
bảng giờ tàu	train-table
bảng kiểm tra	list
bảng kê	bordereau
bảng liệt kê	schedule
bảng lương	payroll
bảng niên đại	chronology
bảng nút bấm	keyboard
bảng phân công	rota
bảng thử	desk
bảng tóm tắt	precis
bảng từ vựng	vocab
bảng yết thị	notice-board
bảng đá	slate
bảng đen	chalkboard
bảng đồng hồ	dashboard
bảo  cút đi	scat
bảo bối	palladia
bảo cho biết	put
bảo hiểm	insure
bảo hiểm lại	reinsure
bảo hộ	protect
bảo hộ.	protection
bảo mật	confidentiality
bảo rằng...	direct
bảo thôi	discommend
bảo trợ	ward
bảo tồn	preserve
bảo tố	rough
bảo vệ	kept
bảo vệ ai	cudgel
bảo vệ được	tenable
bảo đảm	cinch
bảy bên	septilateral
bảy mươi	seventy
bảy năm	septenary
bạc hà hăng	pennyroyal
bạc nhược	frail
bạc đãi	maltreat
bạc đi	silver
bạc đâi	misuse
bạc đầu	hoary-headed
bạc đồng giả	snide
bạch cầu	leucocyte
bạch cầu hạt	granulocyte
bạch cầu non	protoleucocyte
